t_lo,t_hi,delta,pair_Q_lowerbound,threshold_L2d2_over_8,certified_margin
41,41.15625,0.15625,1.908237e+00,4.238859e-02,1.865849e+00
41.15625,41.3125,0.15625,1.747257e+00,4.238859e-02,1.704869e+00
41.3125,41.46875,0.15625,1.541149e+00,4.238859e-02,1.498761e+00
41.46875,41.625,0.15625,1.324834e+00,4.238859e-02,1.282445e+00
41.625,41.78125,0.15625,1.133779e+00,4.238859e-02,1.091391e+00
41.78125,41.9375,0.15625,9.984004e-01,4.238859e-02,9.560118e-01
41.9375,42.09375,0.15625,9.397393e-01,4.238859e-02,8.973507e-01
42.09375,42.25,0.15625,9.397393e-01,4.238859e-02,8.973507e-01
42.25,42.40625,0.15625,9.667825e-01,4.238859e-02,9.243939e-01
42.40625,42.5625,0.15625,1.075397e+00,4.238859e-02,1.033008e+00
42.5625,42.71875,0.15625,1.248813e+00,4.238859e-02,1.206424e+00
42.71875,42.875,0.15625,1.459693e+00,4.238859e-02,1.417304e+00
42.875,43.03125,0.15625,1.673853e+00,4.238859e-02,1.631465e+00
43.03125,43.1875,0.15625,1.855462e+00,4.238859e-02,1.813073e+00
43.1875,43.34375,0.15625,1.973029e+00,4.238859e-02,1.930641e+00
43.34375,43.5,0.15625,1.943617e+00,4.238859e-02,1.901228e+00
43.5,43.65625,0.15625,1.795711e+00,4.238859e-02,1.753322e+00
43.65625,43.8125,0.15625,1.580577e+00,4.238859e-02,1.538189e+00
43.8125,43.96875,0.15625,1.325148e+00,4.238859e-02,1.282759e+00
43.96875,44.125,0.15625,1.058138e+00,4.238859e-02,1.015749e+00
44.125,44.28125,0.15625,8.046943e-01,4.238859e-02,7.623057e-01
44.28125,44.4375,0.15625,5.828050e-01,4.238859e-02,5.404164e-01
44.4375,44.59375,0.15625,4.019969e-01,4.238859e-02,3.596083e-01
44.59375,44.75,0.15625,2.640966e-01,4.238859e-02,2.217080e-01
44.75,44.90625,0.15625,1.653105e-01,4.238859e-02,1.229219e-01
44.90625,45.0625,0.15625,9.874659e-02,4.238859e-02,5.635801e-02
45.0625,45.21875,0.15625,5.667219e-02,4.238859e-02,1.428361e-02
46.15625,46.3125,0.15625,6.618395e-02,4.238859e-02,2.379536e-02
46.3125,46.46875,0.15625,1.142247e-01,4.238859e-02,7.183612e-02
46.46875,46.625,0.15625,1.888644e-01,4.238859e-02,1.464758e-01
46.625,46.78125,0.15625,2.978207e-01,4.238859e-02,2.554321e-01
46.78125,46.9375,0.15625,4.474390e-01,4.238859e-02,4.050504e-01
46.9375,47.09375,0.15625,6.403461e-01,4.238859e-02,5.979575e-01
47.09375,47.25,0.15625,8.730352e-01,4.238859e-02,8.306466e-01
47.25,47.40625,0.15625,1.134175e+00,4.238859e-02,1.091786e+00
47.40625,47.5625,0.15625,1.404532e+00,4.238859e-02,1.362144e+00
47.5625,47.71875,0.15625,1.659151e+00,4.238859e-02,1.616762e+00
47.71875,47.875,0.15625,1.871780e+00,4.238859e-02,1.829391e+00
47.875,48.03125,0.15625,2.020735e+00,4.238859e-02,1.978347e+00
48.03125,48.1875,0.15625,2.094618e+00,4.238859e-02,2.052230e+00
48.1875,48.34375,0.15625,2.042067e+00,4.238859e-02,1.999678e+00
48.34375,48.5,0.15625,1.960338e+00,4.238859e-02,1.917950e+00
48.5,48.65625,0.15625,1.882512e+00,4.238859e-02,1.840123e+00
48.65625,48.8125,0.15625,1.835914e+00,4.238859e-02,1.793526e+00
48.8125,48.96875,0.15625,1.835914e+00,4.238859e-02,1.793526e+00
48.96875,49.125,0.15625,1.836275e+00,4.238859e-02,1.793886e+00
49.125,49.28125,0.15625,1.883474e+00,4.238859e-02,1.841085e+00
49.28125,49.4375,0.15625,1.961574e+00,4.238859e-02,1.919185e+00
49.4375,49.59375,0.15625,2.043132e+00,4.238859e-02,2.000743e+00
49.59375,49.75,0.15625,2.094152e+00,4.238859e-02,2.051763e+00
49.75,49.90625,0.15625,2.019267e+00,4.238859e-02,1.976878e+00
49.90625,50.0625,0.15625,1.869533e+00,4.238859e-02,1.827145e+00
50.0625,50.21875,0.15625,1.656726e+00,4.238859e-02,1.614338e+00
50.21875,50.375,0.15625,1.403034e+00,4.238859e-02,1.360645e+00
50.375,50.53125,0.15625,1.135482e+00,4.238859e-02,1.093093e+00
50.53125,50.6875,0.15625,8.803271e-01,4.238859e-02,8.379385e-01
50.6875,50.84375,0.15625,6.589694e-01,4.238859e-02,6.165808e-01
50.84375,51,0.15625,4.861581e-01,4.238859e-02,4.437695e-01
51,51.15625,0.15625,3.703672e-01,4.238859e-02,3.279786e-01
51.15625,51.3125,0.15625,3.155136e-01,4.238859e-02,2.731250e-01
51.3125,51.46875,0.15625,3.155136e-01,4.238859e-02,2.731250e-01
51.46875,51.625,0.15625,3.228901e-01,4.238859e-02,2.805015e-01
51.625,51.78125,0.15625,3.923129e-01,4.238859e-02,3.499243e-01
51.78125,51.9375,0.15625,5.219343e-01,4.238859e-02,4.795458e-01
51.9375,52.09375,0.15625,7.067863e-01,4.238859e-02,6.643977e-01
52.09375,52.25,0.15625,9.367112e-01,4.238859e-02,8.943226e-01
52.25,52.40625,0.15625,1.194725e+00,4.238859e-02,1.152337e+00
52.40625,52.5625,0.15625,1.456890e+00,4.238859e-02,1.414501e+00
52.5625,52.71875,0.15625,1.694377e+00,4.238859e-02,1.651988e+00
52.71875,52.875,0.15625,1.877674e+00,4.238859e-02,1.835286e+00
52.875,53.03125,0.15625,1.982033e+00,4.238859e-02,1.939644e+00
53.03125,53.1875,0.15625,1.907908e+00,4.238859e-02,1.865519e+00
53.1875,53.34375,0.15625,1.739797e+00,4.238859e-02,1.697409e+00
53.34375,53.5,0.15625,1.511048e+00,4.238859e-02,1.468659e+00
53.5,53.65625,0.15625,1.250200e+00,4.238859e-02,1.207811e+00
53.65625,53.8125,0.15625,9.859393e-01,4.238859e-02,9.435507e-01
53.8125,53.96875,0.15625,7.423761e-01,4.238859e-02,6.999875e-01
53.96875,54.125,0.15625,5.363459e-01,4.238859e-02,4.939573e-01
